,price,solar_gen,irr_solar,irr_load,wind_speed,nbr_wind_nl,wind_gen,load,nbr_wind_dk,nbr_wind_pl,nbr_wind_fr,nbr_wind_at,nbr_wind_cz,temp_wind,temp_load,nbr_wind_ch,ntc_imp_total,ntc_exp_total,nuclear
price,1.0,-0.4544,-0.4213,-0.4064,-0.3513,-0.3307,-0.3271,0.305,-0.3011,-0.2684,-0.251,-0.2465,-0.2406,-0.2183,-0.2145,-0.1735,0.1337,0.1072,0.1046
solar_gen,-0.4544,1.0,0.94,0.9252,-0.2611,-0.1783,-0.2739,0.162,-0.1584,-0.2115,-0.1795,0.1171,-0.0119,0.4747,0.4943,0.123,-0.0976,0.0729,-0.1849
irr_solar,-0.4213,0.94,1.0,0.9762,-0.2453,-0.162,-0.259,0.1535,-0.1432,-0.2005,-0.1667,0.1697,0.0305,0.5408,0.5654,0.1703,-0.0742,0.0648,-0.2337
irr_load,-0.4064,0.9252,0.9762,1.0,-0.2488,-0.1688,-0.2661,0.1484,-0.1541,-0.1999,-0.1796,0.1866,0.0464,0.5408,0.5737,0.1738,-0.0679,0.0715,-0.2369
wind_speed,-0.3513,-0.2611,-0.2453,-0.2488,1.0,0.8063,0.9533,0.1301,0.7344,0.7603,0.605,0.4024,0.5987,-0.2559,-0.2583,0.2017,0.1035,-0.2019,0.1067
nbr_wind_nl,-0.3307,-0.1783,-0.162,-0.1688,0.8063,1.0,0.8265,0.1384,0.615,0.4903,0.6283,0.2347,0.347,-0.2108,-0.2133,0.14,0.0939,-0.1775,0.1028
wind_gen,-0.3271,-0.2739,-0.259,-0.2661,0.9533,0.8265,1.0,0.163,0.7228,0.7048,0.6056,0.3207,0.5161,-0.2798,-0.2807,0.169,0.1268,-0.1717,0.1907
load,0.305,0.162,0.1535,0.1484,0.1301,0.1384,0.163,1.0,0.128,0.0789,0.0755,0.0754,0.108,-0.253,-0.2323,0.0689,0.0899,-0.0312,0.3135
nbr_wind_dk,-0.3011,-0.1584,-0.1432,-0.1541,0.7344,0.615,0.7228,0.128,1.0,0.6461,0.3382,0.1627,0.3159,-0.1517,-0.1639,0.0862,0.0527,-0.1517,0.112
nbr_wind_pl,-0.2684,-0.2115,-0.2005,-0.1999,0.7603,0.4903,0.7048,0.0789,0.6461,1.0,0.2965,0.2789,0.5929,-0.1719,-0.1875,0.1218,0.0501,-0.1353,0.0636
nbr_wind_fr,-0.251,-0.1795,-0.1667,-0.1796,0.605,0.6283,0.6056,0.0755,0.3382,0.2965,1.0,0.2128,0.2401,-0.1663,-0.1552,0.1714,0.0815,-0.2005,0.0225
nbr_wind_at,-0.2465,0.1171,0.1697,0.1866,0.4024,0.2347,0.3207,0.0754,0.1627,0.2789,0.2128,1.0,0.3973,0.0068,0.0366,0.5186,0.0512,-0.0875,-0.0506
nbr_wind_cz,-0.2406,-0.0119,0.0305,0.0464,0.5987,0.347,0.5161,0.108,0.3159,0.5929,0.2401,0.3973,1.0,-0.0783,-0.0773,0.1275,0.0553,-0.1332,-0.0711
temp_wind,-0.2183,0.4747,0.5408,0.5408,-0.2559,-0.2108,-0.2798,-0.253,-0.1517,-0.1719,-0.1663,0.0068,-0.0783,1.0,0.9857,0.0344,-0.1818,0.0613,-0.4473
temp_load,-0.2145,0.4943,0.5654,0.5737,-0.2583,-0.2133,-0.2807,-0.2323,-0.1639,-0.1875,-0.1552,0.0366,-0.0773,0.9857,1.0,0.0599,-0.152,0.0774,-0.4467
nbr_wind_ch,-0.1735,0.123,0.1703,0.1738,0.2017,0.14,0.169,0.0689,0.0862,0.1218,0.1714,0.5186,0.1275,0.0344,0.0599,1.0,0.0299,-0.0481,-0.0194
ntc_imp_total,0.1337,-0.0976,-0.0742,-0.0679,0.1035,0.0939,0.1268,0.0899,0.0527,0.0501,0.0815,0.0512,0.0553,-0.1818,-0.152,0.0299,1.0,0.4166,-0.2089
ntc_exp_total,0.1072,0.0729,0.0648,0.0715,-0.2019,-0.1775,-0.1717,-0.0312,-0.1517,-0.1353,-0.2005,-0.0875,-0.1332,0.0613,0.0774,-0.0481,0.4166,1.0,0.0251
nuclear,0.1046,-0.1849,-0.2337,-0.2369,0.1067,0.1028,0.1907,0.3135,0.112,0.0636,0.0225,-0.0506,-0.0711,-0.4473,-0.4467,-0.0194,-0.2089,0.0251,1.0
