rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,AT,at_zones_018,47.2545,10.2244,-0.2684,ws,0,8760
2,AT,at_zones_021,47.2545,12.3053,-0.1961,ws,0,8760
3,AT,at_zones_012,47.6956,13.3457,-0.1897,ws,0,8760
4,AT,at_zones_019,47.2545,10.918,-0.1771,ws3,0,8760
5,AT,at_zones_028,46.8134,13.3457,-0.1544,ws,0,8760
6,AT,at_zones_013,47.6956,14.0393,-0.1429,ws,0,8760
7,AT,at_zones_030,46.8134,14.733,-0.1377,ws,0,8760
8,AT,at_zones_029,46.8134,14.0393,-0.1369,ws,0,8760
9,AT,at_zones_002,48.5779,14.733,-0.1335,ws3,3,8760
10,AT,at_zones_025,47.2545,15.0798,-0.131,ws,0,8760
11,AT,at_zones_023,47.2545,13.6925,-0.1146,ws,0,8760
12,AT,at_zones_027,46.8134,12.6521,-0.1027,ws3,0,8760
13,AT,at_zones_024,47.2545,14.3862,-0.0998,ws,0,8760
14,AT,at_zones_001,48.5779,14.0393,-0.0907,ws,0,8760
15,AT,at_zones_007,48.1368,13.6925,-0.087,ws3,3,8760
16,AT,at_zones_031,46.8134,15.4266,0.0862,ws,3,8760
17,AT,at_zones_026,47.2545,15.7734,-0.086,ws,0,8760
18,AT,at_zones_006,48.1368,12.9989,-0.0852,ws3,3,8760
19,AT,at_zones_014,47.6956,14.733,-0.0806,ws,0,8760
20,AT,at_zones_003,48.5779,15.4266,-0.0731,ws3,3,8760
21,AT,at_zones_022,47.2545,12.9989,-0.0675,ws,0,8760
22,AT,at_zones_020,47.2545,11.6116,-0.0567,ws3,0,8760
23,AT,at_zones_010,48.1368,15.7734,-0.0543,ws3,3,8760
24,AT,at_zones_011,48.1368,16.4671,0.0536,ws,3,8760
25,AT,at_zones_017,47.6956,16.8139,0.044,ws,1,8760
26,AT,at_zones_016,47.6956,16.1202,-0.0423,ws,0,8760
27,AT,at_zones_015,47.6956,15.4266,-0.0351,ws3,0,8760
28,AT,at_zones_004,48.5779,16.1202,-0.0337,ws3,0,8760
29,AT,at_zones_008,48.1368,14.3862,-0.0333,ws3,3,8760
30,AT,at_zones_009,48.1368,15.0798,-0.0285,ws3,0,8760
31,AT,at_zones_005,48.5779,16.8139,0.0247,ws,3,8760
