rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,CH,ch_zones_010,46.8152,9.8433,-0.172,ws,0,8760
2,CH,ch_zones_011,46.3178,6.9253,-0.1181,ws,0,8760
3,CH,ch_zones_004,47.3127,9.5191,-0.1147,ws,0,8760
4,CH,ch_zones_007,46.8152,7.8979,-0.1129,ws,0,8760
5,CH,ch_zones_001,47.3127,7.5737,-0.1074,ws,0,8760
6,CH,ch_zones_009,46.8152,9.1948,-0.1073,ws3,0,8760
7,CH,ch_zones_013,46.3178,8.8706,-0.0859,ws,0,8760
8,CH,ch_zones_003,47.3127,8.8706,-0.0838,ws,0,8760
9,CH,ch_zones_002,47.3127,8.2222,-0.0774,ws,0,8760
10,CH,ch_zones_006,46.8152,7.2495,-0.0673,ws,0,8760
11,CH,ch_zones_012,46.3178,7.5737,-0.0642,ws,0,8760
12,CH,ch_zones_008,46.8152,8.5464,-0.0298,ws3,0,8760
13,CH,ch_zones_005,46.8152,6.6011,-0.0154,ws,0,8760
