rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,CZ,cz_zones_001,50.6405,13.7849,-0.2384,ws,0,8760
2,CZ,cz_zones_004,50.6405,15.8139,-0.2355,ws,0,8760
3,CZ,cz_zones_005,50.2229,12.7704,-0.2346,ws3,0,8760
4,CZ,cz_zones_006,50.2229,13.4467,-0.2161,ws,0,8760
5,CZ,cz_zones_013,49.8053,13.7849,-0.2139,ws3,0,8760
6,CZ,cz_zones_021,49.3877,12.7704,-0.1933,ws,0,8760
7,CZ,cz_zones_007,50.2229,14.1231,-0.1854,ws3,0,8760
8,CZ,cz_zones_012,49.8053,13.1085,-0.1844,ws3,0,8760
9,CZ,cz_zones_030,48.9701,13.7849,-0.1789,ws,0,8760
10,CZ,cz_zones_014,49.8053,14.4612,-0.1765,ws3,0,8760
11,CZ,cz_zones_022,49.3877,13.4467,-0.1711,ws3,0,8760
12,CZ,cz_zones_002,50.6405,14.4612,-0.1386,ws3,0,8760
13,CZ,cz_zones_015,49.8053,15.1376,-0.1311,ws3,2,8760
14,CZ,cz_zones_008,50.2229,14.7994,-0.1253,ws3,0,8760
15,CZ,cz_zones_009,50.2229,15.4757,-0.1209,ws3,0,8760
16,CZ,cz_zones_023,49.3877,14.1231,-0.1169,ws3,0,8760
17,CZ,cz_zones_020,49.8053,18.5193,-0.1158,ws3,0,8760
18,CZ,cz_zones_031,48.9701,14.4612,-0.1048,ws3,0,8760
19,CZ,cz_zones_011,50.2229,17.5047,-0.0933,ws,0,8760
20,CZ,cz_zones_017,49.8053,16.4902,-0.0891,ws3,0,8760
21,CZ,cz_zones_016,49.8053,15.8139,-0.0851,ws,1,8760
22,CZ,cz_zones_018,49.8053,17.1666,-0.0844,ws,0,8760
23,CZ,cz_zones_003,50.6405,15.1376,-0.0803,ws3,0,8760
24,CZ,cz_zones_024,49.3877,14.7994,-0.0782,ws3,2,8760
25,CZ,cz_zones_025,49.3877,15.4757,-0.0717,ws,3,8760
26,CZ,cz_zones_026,49.3877,16.1521,-0.0685,ws3,0,8760
27,CZ,cz_zones_010,50.2229,16.1521,-0.0683,ws,0,8760
28,CZ,cz_zones_027,49.3877,16.8284,-0.0673,ws3,1,8760
29,CZ,cz_zones_019,49.8053,17.8429,-0.0641,ws3,0,8760
30,CZ,cz_zones_029,49.3877,18.1811,-0.0611,ws,0,8760
31,CZ,cz_zones_032,48.9701,15.8139,-0.0569,ws3,0,8760
32,CZ,cz_zones_035,48.9701,17.8429,-0.0435,ws3,0,8760
33,CZ,cz_zones_028,49.3877,17.5047,-0.0376,ws3,0,8760
34,CZ,cz_zones_033,48.9701,16.4902,-0.0362,ws3,0,8760
35,CZ,cz_zones_034,48.9701,17.1666,-0.0241,ws3,0,8760
