rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,DK,dk_zones_051,54.8237,10.7193,-0.2702,ws3,0,8760
2,DK,dk_zones_044,55.2833,9.4783,-0.2702,ws3,0,8760
3,DK,dk_zones_052,54.8237,11.5466,-0.2666,ws3,0,8760
4,DK,dk_zones_045,55.2833,10.3056,-0.2642,ws3,0,8760
5,DK,dk_zones_053,54.8237,12.3739,-0.2575,ws3,0,8760
6,DK,dk_zones_043,55.2833,8.651,-0.2549,ws,0,8760
7,DK,dk_zones_046,55.2833,11.133,-0.2544,ws3,0,8760
8,DK,dk_zones_047,55.2833,11.9603,-0.2527,ws3,0,8760
9,DK,dk_zones_038,55.7428,11.5466,-0.2482,ws3,0,8760
10,DK,dk_zones_035,55.7428,9.0646,-0.2376,ws3,0,8760
11,DK,dk_zones_042,55.2833,7.8236,-0.236,ws,0,8760
12,DK,dk_zones_041,55.2833,6.9963,-0.2351,ws,0,8760
13,DK,dk_zones_037,55.7428,10.7193,-0.2299,ws3,0,8760
14,DK,dk_zones_036,55.7428,9.892,-0.227,ws3,0,8760
15,DK,dk_zones_040,55.2833,5.3416,-0.2209,ws,2,8760
16,DK,dk_zones_039,55.7428,12.3739,-0.2197,ws3,0,8760
17,DK,dk_zones_034,55.7428,8.2373,-0.2194,ws3,0,8760
18,DK,dk_zones_026,56.2023,9.4783,-0.2132,ws3,0,8760
19,DK,dk_zones_032,55.7428,6.5826,-0.2109,ws,0,8760
20,DK,dk_zones_033,55.7428,7.41,-0.2095,ws,0,8760
21,DK,dk_zones_025,56.2023,8.651,-0.2077,ws3,0,8760
22,DK,dk_zones_027,56.2023,10.3056,-0.2062,ws3,0,8760
23,DK,dk_zones_028,56.2023,11.133,-0.2057,ws3,0,8760
24,DK,dk_zones_031,55.7428,5.7553,-0.2038,ws,1,8760
25,DK,dk_zones_030,55.7428,4.928,-0.2023,ws3,1,8760
26,DK,dk_zones_054,54.8237,14.8559,-0.1986,ws3,0,8760
27,DK,dk_zones_048,55.2833,14.4423,-0.1963,ws3,0,8760
28,DK,dk_zones_015,56.6619,9.0646,-0.1941,ws3,0,8760
29,DK,dk_zones_016,56.6619,9.892,-0.1924,ws3,0,8760
30,DK,dk_zones_020,56.2023,4.5143,-0.1894,ws3,0,8760
31,DK,dk_zones_024,56.2023,7.8236,-0.1888,ws3,0,8760
32,DK,dk_zones_019,56.2023,3.687,-0.1884,ws3,1,8760
33,DK,dk_zones_023,56.2023,6.9963,-0.1869,ws,0,8760
34,DK,dk_zones_055,54.8237,15.6833,-0.1853,ws3,0,8760
35,DK,dk_zones_021,56.2023,5.3416,-0.1833,ws3,0,8760
36,DK,dk_zones_029,56.2023,11.9603,-0.1828,ws3,0,8760
37,DK,dk_zones_022,56.2023,6.169,-0.182,ws3,0,8760
38,DK,dk_zones_018,56.6619,11.5466,-0.1771,ws3,0,8760
39,DK,dk_zones_017,56.6619,10.7193,-0.1745,ws3,0,8760
40,DK,dk_zones_008,57.1214,9.4783,-0.1708,ws,0,8760
41,DK,dk_zones_011,56.6619,5.7553,-0.1698,ws3,0,8760
42,DK,dk_zones_009,57.1214,10.3056,-0.1684,ws3,0,8760
43,DK,dk_zones_010,57.1214,11.133,-0.1663,ws3,0,8760
44,DK,dk_zones_012,56.6619,6.5826,-0.1631,ws3,0,8760
45,DK,dk_zones_013,56.6619,7.41,-0.1605,ws3,0,8760
46,DK,dk_zones_014,56.6619,8.2373,-0.1595,ws,0,8760
47,DK,dk_zones_049,55.2833,15.2696,-0.1553,ws3,0,8760
48,DK,dk_zones_007,57.1214,8.651,-0.1525,ws,0,8760
49,DK,dk_zones_050,55.2833,16.0969,-0.1475,ws3,0,8760
50,DK,dk_zones_005,57.1214,6.9963,-0.147,ws3,0,8760
51,DK,dk_zones_006,57.1214,7.8236,-0.1436,ws3,0,8760
52,DK,dk_zones_003,57.5809,9.892,-0.1412,ws,0,8760
53,DK,dk_zones_004,57.5809,10.7193,-0.1388,ws,0,8760
54,DK,dk_zones_002,57.5809,9.0646,-0.136,ws,0,8760
55,DK,dk_zones_001,58.0405,10.3056,-0.1322,ws,0,8760
