rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,FR,fr_zones_001,51.1074,1.9205,-0.2165,ws3,0,8760
2,FR,fr_zones_011,50.2065,3.8977,-0.2145,ws3,3,8760
3,FR,fr_zones_003,50.657,2.25,-0.2131,ws3,3,8760
4,FR,fr_zones_004,50.657,2.9091,-0.2106,ws3,3,8760
5,FR,fr_zones_009,50.2065,2.5795,-0.2098,ws,3,8760
6,FR,fr_zones_002,50.657,1.5909,-0.2073,ws3,3,8760
7,FR,fr_zones_008,50.2065,1.9205,-0.206,ws3,3,8760
8,FR,fr_zones_080,48.4049,7.1932,-0.2025,ws,0,8760
9,FR,fr_zones_010,50.2065,3.2386,-0.2025,ws3,3,8760
10,FR,fr_zones_007,50.2065,1.2614,-0.1996,ws3,3,8760
11,FR,fr_zones_039,49.3057,5.2159,-0.1938,ws,3,8760
12,FR,fr_zones_041,49.3057,6.5341,-0.193,ws3,3,8760
13,FR,fr_zones_021,49.7561,3.5682,-0.1918,ws3,3,8760
14,FR,fr_zones_023,49.7561,4.8864,-0.1907,ws3,3,8760
15,FR,fr_zones_020,49.7561,2.9091,-0.1901,ws3,3,8760
16,FR,fr_zones_006,50.2065,0.6023,-0.1891,ws3,3,8760
17,FR,fr_zones_022,49.7561,4.2273,-0.187,ws3,3,8760
18,FR,fr_zones_016,49.7561,0.2727,-0.1862,ws3,3,8760
19,FR,fr_zones_040,49.3057,5.875,-0.183,ws,3,8760
20,FR,fr_zones_005,50.2065,-0.0568,-0.1816,ws,3,8760
21,FR,fr_zones_036,49.3057,3.2386,-0.1816,ws3,3,8760
22,FR,fr_zones_037,49.3057,3.8977,-0.1796,ws3,2,8760
23,FR,fr_zones_015,49.7561,-0.3864,-0.1792,ws3,3,8760
24,FR,fr_zones_019,49.7561,2.25,-0.1778,ws3,3,8760
25,FR,fr_zones_018,49.7561,1.5909,-0.1765,ws3,3,8760
26,FR,fr_zones_038,49.3057,4.5568,-0.1752,ws3,3,8760
27,FR,fr_zones_060,48.8553,6.8636,-0.1735,ws,3,8760
28,FR,fr_zones_055,48.8553,3.5682,-0.1728,ws3,3,8760
