rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,NL,nl_zones_025,53.0296,6.5476,-0.3092,ws3,0,8760
2,NL,nl_zones_019,53.4855,6.208,-0.3042,ws3,0,8760
3,NL,nl_zones_036,52.1179,6.5476,-0.3042,ws3,1,8760
4,NL,nl_zones_024,53.0296,5.8684,-0.298,ws3,1,8760
5,NL,nl_zones_029,52.5738,5.5287,-0.2976,ws3,0,8760
6,NL,nl_zones_035,52.1179,5.8684,-0.2962,ws3,0,8760
7,NL,nl_zones_033,52.1179,4.5098,-0.2956,ws3,2,8760
8,NL,nl_zones_030,52.5738,6.208,-0.2947,ws3,0,8760
9,NL,nl_zones_023,53.0296,5.1891,-0.2923,ws3,3,8760
10,NL,nl_zones_028,52.5738,4.8494,-0.2865,ws3,1,8760
11,NL,nl_zones_040,51.662,5.5287,-0.2858,ws3,1,8760
12,NL,nl_zones_038,51.662,4.1702,-0.2852,ws3,3,8760
13,NL,nl_zones_018,53.4855,5.5287,-0.2846,ws3,1,8760
14,NL,nl_zones_037,51.662,3.4909,-0.2824,ws3,3,8760
15,NL,nl_zones_034,52.1179,5.1891,-0.2821,ws3,2,8760
16,NL,nl_zones_014,53.9414,5.8684,-0.2814,ws3,1,8760
17,NL,nl_zones_022,53.0296,4.5098,-0.2796,ws3,3,8760
18,NL,nl_zones_039,51.662,4.8494,-0.2765,ws3,2,8760
19,NL,nl_zones_027,52.5738,4.1702,-0.275,ws3,3,8760
20,NL,nl_zones_041,51.2061,5.8684,-0.275,ws3,0,8760
21,NL,nl_zones_017,53.4855,4.8494,-0.2713,ws3,3,8760
22,NL,nl_zones_013,53.9414,5.1891,-0.2708,ws3,3,8760
23,NL,nl_zones_032,52.1179,3.8305,-0.2692,ws3,3,8760
24,NL,nl_zones_012,53.9414,4.5098,-0.2611,ws3,3,8760
25,NL,nl_zones_016,53.4855,4.1702,-0.259,ws3,3,8760
26,NL,nl_zones_026,52.5738,3.4909,-0.2579,ws3,3,8760
27,NL,nl_zones_021,53.0296,3.8305,-0.2568,ws3,3,8760
28,NL,nl_zones_011,53.9414,3.8305,-0.2521,ws3,3,8760
29,NL,nl_zones_015,53.4855,3.4909,-0.2516,ws3,3,8760
30,NL,nl_zones_009,54.3973,4.8494,-0.25,ws3,3,8760
31,NL,nl_zones_031,52.1179,3.1513,-0.2484,ws3,3,8760
32,NL,nl_zones_010,53.9414,3.1513,-0.246,ws3,3,8760
33,NL,nl_zones_008,54.3973,4.1702,-0.2453,ws3,3,8760
34,NL,nl_zones_020,53.0296,3.1513,-0.2424,ws3,3,8760
35,NL,nl_zones_007,54.3973,3.4909,-0.2347,ws3,3,8760
36,NL,nl_zones_006,54.3973,2.8116,-0.2303,ws3,3,8760
37,NL,nl_zones_005,54.8532,4.5098,-0.228,ws3,2,8760
38,NL,nl_zones_004,54.8532,3.8305,-0.2238,ws3,3,8760
39,NL,nl_zones_003,54.8532,3.1513,-0.2233,ws3,3,8760
40,NL,nl_zones_001,55.3091,3.4909,-0.2112,ws3,2,8760
41,NL,nl_zones_002,55.3091,4.1702,-0.21,ws3,1,8760
