rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
1,PL,pl_zones_025,53.6151,14.5028,-0.2374,ws3,0,8760
2,PL,pl_zones_049,52.6925,14.5028,-0.2317,ws3,0,8760
3,PL,pl_zones_037,53.1538,14.8827,-0.2296,ws3,0,8760
4,PL,pl_zones_026,53.6151,15.2626,-0.2279,ws3,0,8760
5,PL,pl_zones_014,54.0764,15.6425,-0.2201,ws3,0,8760
6,PL,pl_zones_051,52.6925,16.0224,-0.2195,ws3,0,8760
7,PL,pl_zones_050,52.6925,15.2626,-0.2178,ws3,0,8760
8,PL,pl_zones_062,52.2312,14.8827,-0.2082,ws3,0,8760
9,PL,pl_zones_038,53.1538,15.6425,-0.2067,ws3,0,8760
10,PL,pl_zones_063,52.2312,15.6425,-0.2063,ws3,0,8760
11,PL,pl_zones_015,54.0764,16.4023,-0.2014,ws3,0,8760
12,PL,pl_zones_007,54.5377,15.2626,-0.2004,ws3,0,8760
13,PL,pl_zones_073,51.7699,15.2626,-0.1955,ws3,0,8760
14,PL,pl_zones_013,54.0764,14.8827,-0.194,ws3,0,8760
15,PL,pl_zones_084,51.3086,15.6425,-0.1939,ws3,0,8760
16,PL,pl_zones_027,53.6151,16.0224,-0.1933,ws3,0,8760
17,PL,pl_zones_052,52.6925,16.7821,-0.1917,ws3,0,8760
18,PL,pl_zones_039,53.1538,16.4023,-0.1906,ws3,0,8760
19,PL,pl_zones_028,53.6151,16.7821,-0.1885,ws3,0,8760
20,PL,pl_zones_074,51.7699,16.0224,-0.1834,ws3,0,8760
21,PL,pl_zones_064,52.2312,16.4023,-0.1793,ws3,0,8760
22,PL,pl_zones_040,53.1538,17.162,-0.1784,ws3,0,8760
23,PL,pl_zones_107,50.386,17.162,-0.1739,ws3,0,8760
24,PL,pl_zones_008,54.5377,16.0224,-0.1696,ws3,0,8760
25,PL,pl_zones_065,52.2312,17.162,-0.1671,ws3,0,8760
26,PL,pl_zones_053,52.6925,17.5419,-0.1628,ws3,0,8760
27,PL,pl_zones_016,54.0764,17.162,-0.1628,ws3,0,8760
28,PL,pl_zones_075,51.7699,16.7821,-0.1601,ws3,0,8760
29,PL,pl_zones_041,53.1538,17.9218,-0.1596,ws3,0,8760
30,PL,pl_zones_066,52.2312,17.9218,-0.1572,ws3,0,8760
31,PL,pl_zones_029,53.6151,17.5419,-0.1556,ws3,0,8760
32,PL,pl_zones_030,53.6151,18.3017,-0.1536,ws3,0,8760
33,PL,pl_zones_010,54.5377,17.5419,-0.1499,ws3,0,8760
34,PL,pl_zones_017,54.0764,17.9218,-0.1499,ws3,0,8760
35,PL,pl_zones_096,50.8473,16.7821,-0.1476,ws3,0,8760
36,PL,pl_zones_003,54.999,16.4023,-0.1431,ws3,0,8760
37,PL,pl_zones_054,52.6925,18.3017,-0.1408,ws3,0,8760
38,PL,pl_zones_077,51.7699,18.3017,-0.1396,ws3,0,8760
39,PL,pl_zones_009,54.5377,16.7821,-0.137,ws3,0,8760
40,PL,pl_zones_055,52.6925,19.0615,-0.1366,ws3,0,8760
41,PL,pl_zones_078,51.7699,19.0615,-0.1361,ws3,0,8760
42,PL,pl_zones_067,52.2312,18.6816,-0.1358,ws3,0,8760
43,PL,pl_zones_106,50.386,16.4023,-0.1341,ws,0,8760
44,PL,pl_zones_076,51.7699,17.5419,-0.134,ws3,0,8760
45,PL,pl_zones_117,49.9247,19.0615,-0.1331,ws3,0,8760
46,PL,pl_zones_123,49.4634,20.2011,-0.1322,ws,0,8760
47,PL,pl_zones_085,51.3086,16.4023,-0.1272,ws3,0,8760
48,PL,pl_zones_090,51.3086,20.2011,-0.1252,ws3,0,8760
49,PL,pl_zones_031,53.6151,19.0615,-0.1228,ws3,0,8760
50,PL,pl_zones_032,53.6151,19.8212,-0.1228,ws3,0,8760
51,PL,pl_zones_034,53.6151,21.3408,-0.1225,ws3,0,8760
52,PL,pl_zones_089,51.3086,19.4414,-0.1225,ws3,0,8760
53,PL,pl_zones_042,53.1538,18.6816,-0.1221,ws3,0,8760
54,PL,pl_zones_110,50.386,19.4414,-0.1217,ws3,0,8760
55,PL,pl_zones_088,51.3086,18.6816,-0.1215,ws3,0,8760
56,PL,pl_zones_019,54.0764,19.4414,-0.121,ws3,0,8760
57,PL,pl_zones_044,53.1538,20.2011,-0.1208,ws3,0,8760
58,PL,pl_zones_045,53.1538,20.9609,-0.1206,ws3,0,8760
59,PL,pl_zones_100,50.8473,19.8212,-0.12,ws3,0,8760
60,PL,pl_zones_069,52.2312,20.2011,-0.1191,ws3,0,8760
61,PL,pl_zones_087,51.3086,17.9218,-0.1189,ws3,0,8760
62,PL,pl_zones_068,52.2312,19.4414,-0.1188,ws3,0,8760
63,PL,pl_zones_018,54.0764,18.6816,-0.1173,ws3,0,8760
64,PL,pl_zones_046,53.1538,21.7207,-0.1172,ws3,0,8760
65,PL,pl_zones_086,51.3086,17.162,-0.1167,ws3,2,8760
66,PL,pl_zones_035,53.6151,22.1006,-0.1161,ws3,0,8760
67,PL,pl_zones_070,52.2312,20.9609,-0.1158,ws3,0,8760
68,PL,pl_zones_058,52.6925,21.3408,-0.115,ws3,0,8760
69,PL,pl_zones_043,53.1538,19.4414,-0.1146,ws3,0,8760
70,PL,pl_zones_057,52.6925,20.581,-0.1143,ws3,0,8760
71,PL,pl_zones_080,51.7699,20.581,-0.1137,ws3,0,8760
72,PL,pl_zones_118,49.9247,19.8212,-0.113,ws3,0,8760
73,PL,pl_zones_033,53.6151,20.581,-0.1122,ws3,0,8760
74,PL,pl_zones_097,50.8473,17.5419,-0.1118,ws3,0,8760
75,PL,pl_zones_011,54.5377,18.3017,-0.1116,ws3,0,8760
76,PL,pl_zones_079,51.7699,19.8212,-0.111,ws3,0,8760
77,PL,pl_zones_004,54.999,17.162,-0.1102,ws3,0,8760
78,PL,pl_zones_059,52.6925,22.1006,-0.1083,ws3,0,8760
79,PL,pl_zones_056,52.6925,19.8212,-0.1075,ws3,0,8760
80,PL,pl_zones_024,54.0764,23.2402,-0.1072,ws3,0,8760
81,PL,pl_zones_099,50.8473,19.0615,-0.107,ws3,0,8760
82,PL,pl_zones_021,54.0764,20.9609,-0.1068,ws3,0,8760
83,PL,pl_zones_095,50.8473,16.0224,-0.1065,ws,0,8760
84,PL,pl_zones_023,54.0764,22.4805,-0.1056,ws3,0,8760
85,PL,pl_zones_081,51.7699,21.3408,-0.1046,ws3,0,8760
86,PL,pl_zones_020,54.0764,20.2011,-0.1043,ws3,0,8760
87,PL,pl_zones_036,53.6151,22.8603,-0.1043,ws3,0,8760
88,PL,pl_zones_001,55.4603,17.5419,-0.103,ws3,0,8760
89,PL,pl_zones_109,50.386,18.6816,-0.1024,ws3,0,8760
90,PL,pl_zones_047,53.1538,22.4805,-0.1019,ws3,0,8760
91,PL,pl_zones_116,49.9247,18.3017,-0.0993,ws3,0,8760
92,PL,pl_zones_111,50.386,20.2011,-0.0991,ws3,0,8760
93,PL,pl_zones_022,54.0764,21.7207,-0.0989,ws3,0,8760
94,PL,pl_zones_048,53.1538,23.2402,-0.0971,ws3,0,8760
95,PL,pl_zones_101,50.8473,20.581,-0.095,ws3,0,8760
96,PL,pl_zones_071,52.2312,21.7207,-0.0929,ws3,0,8760
97,PL,pl_zones_091,51.3086,20.9609,-0.0905,ws3,0,8760
98,PL,pl_zones_002,55.4603,18.3017,-0.0899,ws3,0,8760
99,PL,pl_zones_060,52.6925,22.8603,-0.0898,ws3,0,8760
100,PL,pl_zones_005,54.999,17.9218,-0.0891,ws3,0,8760
101,PL,pl_zones_072,52.2312,22.4805,-0.0881,ws3,0,8760
102,PL,pl_zones_098,50.8473,18.3017,-0.0879,ws3,0,8760
103,PL,pl_zones_126,49.4634,22.4805,-0.0825,ws3,0,8760
104,PL,pl_zones_061,52.6925,23.6201,-0.0817,ws3,0,8760
105,PL,pl_zones_083,51.7699,22.8603,-0.0815,ws3,0,8760
106,PL,pl_zones_092,51.3086,21.7207,-0.0741,ws3,0,8760
107,PL,pl_zones_082,51.7699,22.1006,-0.0718,ws3,0,8760
108,PL,pl_zones_094,51.3086,23.2402,-0.071,ws3,0,8760
109,PL,pl_zones_122,49.9247,22.8603,-0.0669,ws3,0,8760
110,PL,pl_zones_102,50.8473,21.3408,-0.0657,ws3,3,8760
111,PL,pl_zones_104,50.8473,22.8603,-0.0648,ws3,1,8760
112,PL,pl_zones_006,54.999,18.6816,-0.0645,ws3,0,8760
113,PL,pl_zones_108,50.386,17.9218,-0.0603,ws3,0,8760
114,PL,pl_zones_093,51.3086,22.4805,-0.0575,ws3,0,8760
115,PL,pl_zones_105,50.8473,23.6201,-0.0567,ws3,2,8760
116,PL,pl_zones_112,50.386,20.9609,-0.0555,ws3,0,8760
117,PL,pl_zones_119,49.9247,20.581,-0.0544,ws3,0,8760
118,PL,pl_zones_114,50.386,22.4805,-0.0517,ws3,0,8760
119,PL,pl_zones_012,54.5377,19.0615,-0.0513,ws3,0,8760
120,PL,pl_zones_103,50.8473,22.1006,-0.0458,ws3,0,8760
121,PL,pl_zones_115,50.386,23.2402,-0.0448,ws3,0,8760
122,PL,pl_zones_113,50.386,21.7207,-0.0429,ws3,0,8760
123,PL,pl_zones_121,49.9247,22.1006,-0.0242,ws3,3,8760
124,PL,pl_zones_124,49.4634,20.9609,-0.017,ws,0,8760
125,PL,pl_zones_120,49.9247,21.3408,-0.0169,ws3,0,8760
126,PL,pl_zones_125,49.4634,21.7207,-0.016,ws3,2,8760
