rank,candidate_id,lat,lon,pearson,best_lag_hours,samples
1,de_land_113,49.5604,10.807,0.9268,0,8760
2,de_land_070,51.3927,11.5126,0.9251,0,8760
3,de_land_083,50.9346,11.8654,0.9244,0,8760
4,de_land_114,49.5604,11.5126,0.9241,0,8760
5,de_land_115,49.5604,12.2183,0.9241,0,8760
6,de_land_105,50.0185,11.1598,0.9235,0,8760
7,de_land_104,50.0185,10.4541,0.9234,0,8760
8,de_land_081,50.9346,10.4541,0.9233,0,8760
9,de_land_120,49.1024,10.4541,0.9232,0,8760
10,de_land_084,50.9346,12.5711,0.9231,0,8760
11,de_land_122,49.1024,11.8654,0.9224,0,8760
12,de_land_096,50.4766,12.2183,0.922,0,8760
13,de_land_121,49.1024,11.1598,0.9219,0,8760
14,de_land_069,51.3927,10.807,0.9217,0,8760
15,de_land_094,50.4766,10.807,0.9215,0,8760
16,de_land_071,51.3927,12.2183,0.9213,0,8760
17,de_land_112,49.5604,10.1013,0.9213,0,8760
18,de_land_103,50.0185,9.7485,0.9205,0,8760
19,de_land_072,51.3927,12.9239,0.9205,0,8760
20,de_land_061,51.8508,13.2768,0.9204,0,8760
21,de_land_058,51.8508,11.1598,0.9202,0,8760
22,de_land_073,51.3927,13.6296,0.9199,0,8760
23,de_land_060,51.8508,12.5711,0.9199,0,8760
24,de_land_085,50.9346,13.2768,0.9198,0,8760
25,de_land_106,50.0185,11.8654,0.9197,0,8760
26,de_land_082,50.9346,11.1598,0.9194,0,8760
27,de_land_095,50.4766,11.5126,0.9188,0,8760
28,de_land_068,51.3927,10.1013,0.9188,0,8760
29,de_land_080,50.9346,9.7485,0.9186,0,8760
30,de_land_131,48.6443,12.2183,0.9184,0,8760
31,de_land_059,51.8508,11.8654,0.9183,0,8760
32,de_land_062,51.8508,13.9824,0.9178,0,8760
33,de_land_124,49.1024,13.2768,0.9171,0,8760
34,de_land_132,48.6443,12.9239,0.9166,0,8760
35,de_land_102,50.0185,9.0428,0.9165,0,8760
36,de_land_093,50.4766,10.1013,0.9165,0,8760
37,de_land_123,49.1024,12.5711,0.9163,0,8760
38,de_land_067,51.3927,9.3956,0.9163,0,8760
39,de_land_045,52.3088,10.807,0.916,0,8760
40,de_land_092,50.4766,9.3956,0.916,0,8760
41,de_land_086,50.9346,13.9824,0.916,0,8760
42,de_land_074,51.3927,14.3352,0.9155,0,8760
43,de_land_044,52.3088,10.1013,0.9154,0,8760
44,de_land_097,50.4766,12.9239,0.9154,0,8760
45,de_land_047,52.3088,12.2183,0.9151,0,8760
46,de_land_129,48.6443,10.807,0.9148,0,8760
47,de_land_046,52.3088,11.5126,0.9147,0,8760
48,de_land_130,48.6443,11.5126,0.9145,0,8760
49,de_land_056,51.8508,9.7485,0.9143,0,8760
50,de_land_133,48.6443,13.6296,0.9142,0,8760
51,de_land_119,49.1024,9.7485,0.9139,0,8760
52,de_land_111,49.5604,9.3956,0.9139,0,8760
53,de_land_118,49.1024,9.0428,0.9138,0,8760
54,de_land_091,50.4766,8.69,0.9136,0,8760
55,de_land_048,52.3088,12.9239,0.9127,0,8760
56,de_land_087,50.9346,14.6881,0.9127,0,8760
57,de_land_141,48.1862,12.5711,0.9123,0,8760
58,de_land_079,50.9346,9.0428,0.9121,0,8760
59,de_land_036,52.7669,11.8654,0.9121,0,8760
60,de_land_050,52.3088,14.3352,0.9121,0,8760
61,de_land_025,53.2249,11.5126,0.912,0,8760
62,de_land_049,52.3088,13.6296,0.9118,0,8760
63,de_land_128,48.6443,10.1013,0.9116,0,8760
64,de_land_034,52.7669,10.4541,0.9114,0,8760
65,de_land_035,52.7669,11.1598,0.9099,0,8760
66,de_land_140,48.1862,11.8654,0.9098,0,8760
67,de_land_039,52.7669,13.9824,0.9096,0,8760
68,de_land_037,52.7669,12.5711,0.9094,0,8760
69,de_land_066,51.3927,8.69,0.9093,0,8760
70,de_land_057,51.8508,10.4541,0.909,0,8760
71,de_land_028,53.2249,13.6296,0.909,0,8760
72,de_land_055,51.8508,9.0428,0.909,0,8760
73,de_land_110,49.5604,8.69,0.9087,0,8760
74,de_land_043,52.3088,9.3956,0.9087,0,8760
75,de_land_024,53.2249,10.807,0.9086,0,8760
76,de_land_127,48.6443,9.3956,0.9085,0,8760
77,de_land_033,52.7669,9.7485,0.9084,0,8760
78,de_land_026,53.2249,12.2183,0.908,0,8760
79,de_land_038,52.7669,13.2768,0.9077,0,8760
80,de_land_023,53.2249,10.1013,0.9076,0,8760
81,de_land_101,50.0185,8.3372,0.9074,0,8760
82,de_land_078,50.9346,8.3372,0.9065,0,8760
83,de_land_022,53.2249,9.3956,0.9063,0,8760
84,de_land_117,49.1024,8.3372,0.9061,0,8760
85,de_land_139,48.1862,11.1598,0.9059,0,8760
86,de_land_027,53.2249,12.9239,0.9057,0,8760
87,de_land_065,51.3927,7.9843,0.9056,0,8760
88,de_land_017,53.683,13.2768,0.9054,0,8760
89,de_land_014,53.683,11.1598,0.9052,0,8760
90,de_land_006,54.1411,10.807,0.9052,0,8760
91,de_land_029,53.2249,14.3352,0.905,0,8760
92,de_land_013,53.683,10.4541,0.9043,0,8760
93,de_land_016,53.683,12.5711,0.904,0,8760
94,de_land_015,53.683,11.8654,0.9038,0,8760
95,de_land_109,49.5604,7.9843,0.9037,0,8760
96,de_land_138,48.1862,10.4541,0.9037,0,8760
97,de_land_054,51.8508,8.3372,0.9033,0,8760
98,de_land_090,50.4766,7.9843,0.903,0,8760
99,de_land_018,53.683,13.9824,0.9029,0,8760
100,de_land_032,52.7669,9.0428,0.9029,0,8760
101,de_land_042,52.3088,8.69,0.9027,0,8760
102,de_land_100,50.0185,7.6315,0.9021,0,8760
103,de_land_137,48.1862,9.7485,0.9019,0,8760
104,de_land_007,54.1411,12.2183,0.9016,0,8760
105,de_land_008,54.1411,12.9239,0.901,0,8760
106,de_land_009,54.1411,13.6296,0.9006,0,8760
107,de_land_126,48.6443,8.69,0.9005,0,8760
108,de_land_012,53.683,9.7485,0.9003,0,8760
109,de_land_021,53.2249,8.69,0.8991,0,8760
110,de_land_005,54.1411,10.1013,0.8983,0,8760
111,de_land_136,48.1862,9.0428,0.8979,0,8760
112,de_land_116,49.1024,7.6315,0.8978,0,8760
113,de_land_003,54.5991,13.2768,0.8972,0,8760
114,de_land_053,51.8508,7.6315,0.897,0,8760
115,de_land_089,50.4766,7.2787,0.897,0,8760
116,de_land_064,51.3927,7.2787,0.8965,0,8760
117,de_land_147,47.7282,12.2183,0.8964,0,8760
118,de_land_077,50.9346,7.6315,0.8961,0,8760
119,de_land_041,52.3088,7.9843,0.8955,0,8760
120,de_land_108,49.5604,7.2787,0.8939,0,8760
121,de_land_031,52.7669,8.3372,0.8938,0,8760
122,de_land_135,48.1862,8.3372,0.8938,0,8760
123,de_land_145,47.7282,10.807,0.8937,0,8760
124,de_land_146,47.7282,11.5126,0.8936,0,8760
125,de_land_076,50.9346,6.9259,0.8934,0,8760
126,de_land_004,54.1411,9.3956,0.892,0,8760
127,de_land_011,53.683,9.0428,0.892,0,8760
128,de_land_125,48.6443,7.9843,0.8919,0,8760
129,de_land_002,54.5991,9.7485,0.8911,0,8760
130,de_land_099,50.0185,6.9259,0.8909,0,8760
131,de_land_144,47.7282,10.1013,0.8902,0,8760
132,de_land_052,51.8508,6.9259,0.8892,0,8760
133,de_land_030,52.7669,7.6315,0.8884,0,8760
134,de_land_020,53.2249,7.9843,0.8883,0,8760
135,de_land_075,50.9346,6.2202,0.8878,0,8760
136,de_land_143,47.7282,9.3956,0.8878,0,8760
137,de_land_107,49.5604,6.573,0.8876,0,8760
138,de_land_134,48.1862,7.6315,0.8865,0,8760
139,de_land_040,52.3088,7.2787,0.8865,0,8760
140,de_land_063,51.3927,6.573,0.8861,0,8760
141,de_land_001,54.5991,9.0428,0.8857,0,8760
142,de_land_088,50.4766,6.573,0.885,0,8760
143,de_land_098,50.0185,6.2202,0.8838,0,8760
144,de_land_142,47.7282,7.9843,0.8802,0,8760
145,de_land_051,51.8508,6.2202,0.88,0,8760
146,de_land_019,53.2249,7.2787,0.8793,0,8760
147,de_land_010,53.683,7.6315,0.874,0,8760
