rank,candidate_id,lat,lon,pearson,best_lag_hours,samples
1,de_zones_053,52.733,8.8031,0.8668,0,8760
2,de_zones_043,53.1882,9.1701,0.8646,0,8760
3,de_zones_042,53.1882,8.4361,0.8605,0,8760
4,de_zones_062,52.2779,8.4361,0.8603,0,8760
5,de_zones_063,52.2779,9.1701,0.8576,0,8760
6,de_zones_052,52.733,8.0691,0.8563,0,8760
7,de_zones_054,52.733,9.5371,0.8541,0,8760
8,de_zones_041,53.1882,7.7021,0.8539,0,8760
9,de_zones_044,53.1882,9.9041,0.8518,0,8760
10,de_zones_064,52.2779,9.9041,0.8511,0,8760
11,de_zones_031,53.6434,7.3351,0.8486,0,8760
12,de_zones_032,53.6434,8.0691,0.8484,0,8760
13,de_zones_033,53.6434,8.8031,0.8469,0,8760
14,de_zones_051,52.733,7.3351,0.8417,0,8760
15,de_zones_034,53.6434,9.5371,0.8387,0,8760
16,de_zones_075,51.8227,9.5371,0.8376,0,8760
17,de_zones_055,52.733,10.2711,0.8343,0,8760
18,de_zones_061,52.2779,7.7021,0.8322,0,8760
19,de_zones_045,53.1882,10.6381,0.8322,0,8760
20,de_zones_030,53.6434,6.601,0.8281,1,8760
21,de_zones_022,54.0986,8.4361,0.8259,0,8760
22,de_zones_021,54.0986,7.7021,0.8245,0,8760
23,de_zones_056,52.733,11.0052,0.824,0,8760
24,de_zones_073,51.8227,8.0691,0.8238,0,8760
25,de_zones_065,52.2779,10.6381,0.8228,0,8760
26,de_zones_035,53.6434,10.2711,0.82,0,8760
27,de_zones_087,51.3675,9.9041,0.8185,0,8760
28,de_zones_023,54.0986,9.1701,0.8113,0,8760
29,de_zones_020,54.0986,6.968,0.8101,0,8760
30,de_zones_072,51.8227,7.3351,0.807,1,8760
31,de_zones_088,51.3675,10.6381,0.8046,0,8760
32,de_zones_074,51.8227,8.8031,0.8039,0,8760
33,de_zones_019,54.0986,6.234,0.7965,1,8760
34,de_zones_036,53.6434,11.0052,0.7962,0,8760
35,de_zones_024,54.0986,9.9041,0.7955,0,8760
36,de_zones_085,51.3675,8.4361,0.7944,0,8760
37,de_zones_098,50.9123,9.5371,0.7929,0,8760
38,de_zones_067,52.2779,12.1062,0.7906,0,8760
39,de_zones_046,53.1882,11.3722,0.7903,0,8760
40,de_zones_086,51.3675,9.1701,0.789,0,8760
41,de_zones_066,52.2779,11.3722,0.7844,0,8760
42,de_zones_057,52.733,11.7392,0.7843,0,8760
43,de_zones_011,54.5537,8.0691,0.7836,0,8760
44,de_zones_090,51.3675,12.1062,0.7814,0,8760
45,de_zones_037,53.6434,11.7392,0.7787,0,8760
46,de_zones_071,51.8227,6.601,0.777,1,8760
47,de_zones_047,53.1882,12.1062,0.7765,0,8760
48,de_zones_089,51.3675,11.3722,0.7745,0,8760
49,de_zones_010,54.5537,7.3351,0.774,0,8760
50,de_zones_079,51.8227,12.4732,0.7692,0,8760
51,de_zones_099,50.9123,10.2711,0.7692,0,8760
52,de_zones_091,51.3675,12.8402,0.7687,0,8760
53,de_zones_076,51.8227,10.2711,0.7679,0,8760
54,de_zones_101,50.9123,11.7392,0.7662,0,8760
55,de_zones_058,52.733,12.4732,0.7637,0,8760
56,de_zones_009,54.5537,6.601,0.7628,1,8760
57,de_zones_025,54.0986,10.6381,0.7627,0,8760
58,de_zones_084,51.3675,7.7021,0.7573,0,8760
59,de_zones_100,50.9123,11.0052,0.7555,0,8760
60,de_zones_012,54.5537,8.8031,0.7539,0,8760
61,de_zones_013,54.5537,9.5371,0.7529,0,8760
62,de_zones_078,51.8227,11.7392,0.7515,0,8760
63,de_zones_038,53.6434,12.4732,0.7495,0,8760
64,de_zones_082,51.3675,6.234,0.7484,1,8760
65,de_zones_048,53.1882,12.8402,0.7463,0,8760
66,de_zones_026,54.0986,11.3722,0.746,0,8760
67,de_zones_008,54.5537,5.867,0.7442,1,8760
68,de_zones_068,52.2779,12.8402,0.7411,0,8760
69,de_zones_080,51.8227,13.2072,0.739,0,8760
70,de_zones_102,50.9123,12.4732,0.739,0,8760
71,de_zones_059,52.733,13.2072,0.7389,0,8760
72,de_zones_110,50.4571,9.9041,0.7375,0,8760
73,de_zones_077,51.8227,11.0052,0.7359,0,8760
74,de_zones_108,50.4571,8.4361,0.7339,1,8760
75,de_zones_097,50.9123,8.8031,0.7251,1,8760
76,de_zones_005,55.0089,7.7021,0.7248,0,8760
77,de_zones_112,50.4571,11.3722,0.7211,0,8760
78,de_zones_039,53.6434,13.2072,0.719,0,8760
79,de_zones_004,55.0089,6.968,0.7183,0,8760
80,de_zones_083,51.3675,6.968,0.7177,1,8760
81,de_zones_006,55.0089,8.4361,0.7174,0,8760
82,de_zones_092,51.3675,13.5742,0.7172,0,8760
83,de_zones_069,52.2779,13.5742,0.7136,0,8760
84,de_zones_103,50.9123,13.2072,0.7135,0,8760
85,de_zones_049,53.1882,13.5742,0.7123,0,8760
86,de_zones_096,50.9123,8.0691,0.7116,0,8760
87,de_zones_014,54.5537,10.2711,0.7115,0,8760
88,de_zones_003,55.0089,6.234,0.7096,1,8760
89,de_zones_060,52.733,13.9412,0.7081,0,8760
90,de_zones_027,54.0986,12.1062,0.7081,0,8760
91,de_zones_081,51.8227,13.9412,0.7063,0,8760
92,de_zones_106,50.4571,6.968,0.7039,1,8760
93,de_zones_094,50.9123,6.601,0.6979,1,8760
94,de_zones_113,50.4571,12.1062,0.6942,0,8760
95,de_zones_070,52.2779,14.3082,0.6929,0,8760
96,de_zones_002,55.0089,5.5,0.6915,1,8760
97,de_zones_028,54.0986,12.8402,0.6896,0,8760
98,de_zones_114,50.4571,12.8402,0.6859,0,8760
99,de_zones_015,54.5537,11.0052,0.6846,0,8760
100,de_zones_121,50.002,11.0052,0.6695,0,8760
101,de_zones_093,51.3675,14.3082,0.6675,0,8760
102,de_zones_040,53.6434,13.9412,0.666,0,8760
103,de_zones_128,49.5468,10.6381,0.6632,0,8760
104,de_zones_122,50.002,11.7392,0.6628,0,8760
105,de_zones_095,50.9123,7.3351,0.6617,1,8760
106,de_zones_050,53.1882,14.3082,0.6617,0,8760
107,de_zones_107,50.4571,7.7021,0.6585,1,8760
108,de_zones_111,50.4571,10.6381,0.6572,0,8760
109,de_zones_116,50.002,7.3351,0.6561,1,8760
110,de_zones_109,50.4571,9.1701,0.6542,0,8760
111,de_zones_127,49.5468,9.9041,0.654,0,8760
112,de_zones_016,54.5537,12.4732,0.6484,0,8760
113,de_zones_029,54.0986,13.5742,0.6435,0,8760
114,de_zones_001,55.4641,5.867,0.6395,1,8760
115,de_zones_118,50.002,8.8031,0.6369,0,8760
116,de_zones_119,50.002,9.5371,0.6337,0,8760
117,de_zones_135,49.0916,11.0052,0.6247,0,8760
118,de_zones_120,50.002,10.2711,0.6121,0,8760
119,de_zones_126,49.5468,9.1701,0.6111,0,8760
120,de_zones_124,49.5468,7.7021,0.5989,1,8760
121,de_zones_115,50.002,6.601,0.5979,1,8760
122,de_zones_134,49.0916,10.2711,0.5949,0,8760
123,de_zones_125,49.5468,8.4361,0.5881,1,8760
124,de_zones_017,54.5537,13.2072,0.5869,0,8760
125,de_zones_130,49.5468,12.1062,0.5838,0,8760
126,de_zones_018,54.5537,13.9412,0.5806,0,8760
127,de_zones_129,49.5468,11.3722,0.5735,0,8760
128,de_zones_105,50.9123,14.6753,0.5633,0,8760
129,de_zones_139,48.6364,8.4361,0.5628,3,8760
130,de_zones_133,49.0916,9.5371,0.559,0,8760
131,de_zones_104,50.9123,13.9412,0.5564,0,8760
132,de_zones_136,49.0916,11.7392,0.5542,0,8760
133,de_zones_140,48.6364,9.1701,0.5503,0,8760
134,de_zones_007,55.0089,13.5742,0.5447,0,8760
135,de_zones_141,48.6364,9.9041,0.534,0,8760
136,de_zones_148,48.1813,8.8031,0.5334,1,8760
137,de_zones_117,50.002,8.0691,0.5321,1,8760
138,de_zones_137,49.0916,12.4732,0.5073,0,8760
139,de_zones_142,48.6364,10.6381,0.4864,0,8760
140,de_zones_123,49.5468,6.968,0.481,1,8760
141,de_zones_143,48.6364,11.3722,0.4803,0,8760
142,de_zones_138,49.0916,13.2072,0.4684,0,8760
143,de_zones_131,49.0916,8.0691,0.4646,0,8760
144,de_zones_132,49.0916,8.8031,0.447,0,8760
145,de_zones_144,48.6364,12.1062,0.4462,0,8760
146,de_zones_151,48.1813,11.0052,0.4367,0,8760
147,de_zones_147,48.1813,8.0691,0.4349,3,8760
148,de_zones_150,48.1813,10.2711,0.4289,1,8760
149,de_zones_154,47.7261,7.7021,0.4088,3,8760
150,de_zones_145,48.6364,12.8402,0.3911,0,8760
151,de_zones_149,48.1813,9.5371,0.3872,1,8760
152,de_zones_152,48.1813,11.7392,0.3793,0,8760
153,de_zones_153,48.1813,12.4732,0.3434,0,8760
154,de_zones_160,47.7261,12.1062,0.3149,0,8760
155,de_zones_159,47.7261,11.3722,0.3123,3,8760
156,de_zones_158,47.7261,10.6381,0.2894,3,8760
157,de_zones_146,48.6364,13.5742,0.2776,0,8760
158,de_zones_157,47.7261,9.9041,0.2715,2,8760
159,de_zones_161,47.7261,12.8402,0.248,3,8760
160,de_zones_155,47.7261,8.4361,0.2041,2,8760
161,de_zones_156,47.7261,9.1701,0.1979,2,8760
